image_id,pred_instance_count,gt_instance_count,tp,fp,fn,object_precision,object_recall,object_f1,mean_matched_iou,merge_count,split_count,count_error,density_bucket,prediction_status,pred_file,gt_file
mexico-earthquake_00000189,73,59,38,35,21,0.520548,0.644068,0.575758,0.76268,9,9,14,dense,present,mexico-earthquake_00000189_pre_disaster.png,mexico-earthquake_00000189_pre_disaster_target.png
mexico-earthquake_00000190,37,28,23,14,5,0.621622,0.821429,0.707692,0.822794,0,1,9,medium,present,mexico-earthquake_00000190_pre_disaster.png,mexico-earthquake_00000190_pre_disaster_target.png
midwest-flooding_00000000,5,5,2,3,3,0.4,0.4,0.4,0.857068,0,0,0,medium,present,midwest-flooding_00000000_pre_disaster.png,midwest-flooding_00000000_pre_disaster_target.png
midwest-flooding_00000004,91,86,72,19,14,0.791209,0.837209,0.813559,0.834966,2,1,5,dense,present,midwest-flooding_00000004_pre_disaster.png,midwest-flooding_00000004_pre_disaster_target.png
midwest-flooding_00000006,5,5,5,0,0,1.0,1.0,1.0,0.8566,0,0,0,medium,present,midwest-flooding_00000006_pre_disaster.png,midwest-flooding_00000006_pre_disaster_target.png
midwest-flooding_00000008,11,11,6,5,5,0.545455,0.545455,0.545455,0.832491,1,0,0,medium,present,midwest-flooding_00000008_pre_disaster.png,midwest-flooding_00000008_pre_disaster_target.png
midwest-flooding_00000011,52,56,41,11,15,0.788462,0.732143,0.759259,0.754355,5,1,-4,dense,present,midwest-flooding_00000011_pre_disaster.png,midwest-flooding_00000011_pre_disaster_target.png
midwest-flooding_00000014,55,56,44,11,12,0.8,0.785714,0.792793,0.804409,3,1,-1,dense,present,midwest-flooding_00000014_pre_disaster.png,midwest-flooding_00000014_pre_disaster_target.png
midwest-flooding_00000016,26,15,11,15,4,0.423077,0.733333,0.536585,0.893383,1,3,11,medium,present,midwest-flooding_00000016_pre_disaster.png,midwest-flooding_00000016_pre_disaster_target.png
midwest-flooding_00000017,17,16,14,3,2,0.823529,0.875,0.848485,0.806525,0,0,1,medium,present,midwest-flooding_00000017_pre_disaster.png,midwest-flooding_00000017_pre_disaster_target.png
midwest-flooding_00000026,97,99,72,25,27,0.742268,0.727273,0.734694,0.762393,9,5,-2,dense,present,midwest-flooding_00000026_pre_disaster.png,midwest-flooding_00000026_pre_disaster_target.png
midwest-flooding_00000048,115,130,99,16,31,0.86087,0.761538,0.808163,0.825244,9,3,-15,dense,present,midwest-flooding_00000048_pre_disaster.png,midwest-flooding_00000048_pre_disaster_target.png
midwest-flooding_00000050,277,294,218,59,76,0.787004,0.741497,0.763573,0.777281,18,10,-17,dense,present,midwest-flooding_00000050_pre_disaster.png,midwest-flooding_00000050_pre_disaster_target.png
midwest-flooding_00000056,85,83,68,17,15,0.8,0.819277,0.809524,0.811719,3,4,2,dense,present,midwest-flooding_00000056_pre_disaster.png,midwest-flooding_00000056_pre_disaster_target.png
midwest-flooding_00000071,141,175,119,22,56,0.843972,0.68,0.753165,0.792515,12,3,-34,dense,present,midwest-flooding_00000071_pre_disaster.png,midwest-flooding_00000071_pre_disaster_target.png
midwest-flooding_00000072,157,179,125,32,54,0.796178,0.698324,0.744048,0.806373,12,2,-22,dense,present,midwest-flooding_00000072_pre_disaster.png,midwest-flooding_00000072_pre_disaster_target.png
midwest-flooding_00000088,0,1,0,0,1,0.0,0.0,0.0,,0,0,-1,sparse,present,midwest-flooding_00000088_pre_disaster.png,midwest-flooding_00000088_pre_disaster_target.png
midwest-flooding_00000090,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,midwest-flooding_00000090_pre_disaster.png,midwest-flooding_00000090_pre_disaster_target.png
midwest-flooding_00000092,3,4,3,0,1,1.0,0.75,0.857143,0.739204,0,0,-1,sparse,present,midwest-flooding_00000092_pre_disaster.png,midwest-flooding_00000092_pre_disaster_target.png
midwest-flooding_00000104,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,midwest-flooding_00000104_pre_disaster.png,midwest-flooding_00000104_pre_disaster_target.png
midwest-flooding_00000105,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,midwest-flooding_00000105_pre_disaster.png,midwest-flooding_00000105_pre_disaster_target.png
midwest-flooding_00000112,5,6,3,2,3,0.6,0.5,0.545455,0.858095,0,1,-1,medium,present,midwest-flooding_00000112_pre_disaster.png,midwest-flooding_00000112_pre_disaster_target.png
midwest-flooding_00000116,1,1,0,1,1,0.0,0.0,0.0,,0,0,0,sparse,present,midwest-flooding_00000116_pre_disaster.png,midwest-flooding_00000116_pre_disaster_target.png
midwest-flooding_00000122,10,12,7,3,5,0.7,0.583333,0.636364,0.790266,0,1,-2,medium,present,midwest-flooding_00000122_pre_disaster.png,midwest-flooding_00000122_pre_disaster_target.png
midwest-flooding_00000128,13,9,6,7,3,0.461538,0.666667,0.545455,0.807409,1,0,4,medium,present,midwest-flooding_00000128_pre_disaster.png,midwest-flooding_00000128_pre_disaster_target.png
midwest-flooding_00000133,4,4,4,0,0,1.0,1.0,1.0,0.787046,0,0,0,sparse,present,midwest-flooding_00000133_pre_disaster.png,midwest-flooding_00000133_pre_disaster_target.png
midwest-flooding_00000135,2,2,0,2,2,0.0,0.0,0.0,,0,0,0,sparse,present,midwest-flooding_00000135_pre_disaster.png,midwest-flooding_00000135_pre_disaster_target.png
midwest-flooding_00000142,2,3,0,2,3,0.0,0.0,0.0,,0,0,-1,sparse,present,midwest-flooding_00000142_pre_disaster.png,midwest-flooding_00000142_pre_disaster_target.png
midwest-flooding_00000146,3,3,3,0,0,1.0,1.0,1.0,0.713783,0,0,0,sparse,present,midwest-flooding_00000146_pre_disaster.png,midwest-flooding_00000146_pre_disaster_target.png
midwest-flooding_00000160,1,1,1,0,0,1.0,1.0,1.0,0.834667,0,0,0,sparse,present,midwest-flooding_00000160_pre_disaster.png,midwest-flooding_00000160_pre_disaster_target.png
midwest-flooding_00000169,18,16,13,5,3,0.722222,0.8125,0.764706,0.845327,0,0,2,medium,present,midwest-flooding_00000169_pre_disaster.png,midwest-flooding_00000169_pre_disaster_target.png
midwest-flooding_00000176,1,1,1,0,0,1.0,1.0,1.0,0.678689,0,0,0,sparse,present,midwest-flooding_00000176_pre_disaster.png,midwest-flooding_00000176_pre_disaster_target.png
midwest-flooding_00000179,11,13,11,0,2,1.0,0.846154,0.916667,0.77648,0,0,-2,medium,present,midwest-flooding_00000179_pre_disaster.png,midwest-flooding_00000179_pre_disaster_target.png
midwest-flooding_00000184,9,7,6,3,1,0.666667,0.857143,0.75,0.766389,0,1,2,medium,present,midwest-flooding_00000184_pre_disaster.png,midwest-flooding_00000184_pre_disaster_target.png
midwest-flooding_00000195,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,midwest-flooding_00000195_pre_disaster.png,midwest-flooding_00000195_pre_disaster_target.png
midwest-flooding_00000198,17,19,13,4,6,0.764706,0.684211,0.722222,0.769207,0,0,-2,medium,present,midwest-flooding_00000198_pre_disaster.png,midwest-flooding_00000198_pre_disaster_target.png
midwest-flooding_00000208,0,2,0,0,2,0.0,0.0,0.0,,0,0,-2,sparse,present,midwest-flooding_00000208_pre_disaster.png,midwest-flooding_00000208_pre_disaster_target.png
midwest-flooding_00000210,0,0,0,0,0,1.0,1.0,1.0,,0,0,0,sparse,present,midwest-flooding_00000210_pre_disaster.png,midwest-flooding_00000210_pre_disaster_target.png
midwest-flooding_00000215,13,12,12,1,0,0.923077,1.0,0.96,0.828846,0,0,1,medium,present,midwest-flooding_00000215_pre_disaster.png,midwest-flooding_00000215_pre_disaster_target.png
midwest-flooding_00000224,7,6,6,1,0,0.857143,1.0,0.923077,0.751201,0,0,1,medium,present,midwest-flooding_00000224_pre_disaster.png,midwest-flooding_00000224_pre_disaster_target.png
midwest-flooding_00000232,6,6,4,2,2,0.666667,0.666667,0.666667,0.812597,0,0,0,medium,present,midwest-flooding_00000232_pre_disaster.png,midwest-flooding_00000232_pre_disaster_target.png
midwest-flooding_00000243,2,7,2,0,5,1.0,0.285714,0.444444,0.875761,0,0,-5,medium,present,midwest-flooding_00000243_pre_disaster.png,midwest-flooding_00000243_pre_disaster_target.png
midwest-flooding_00000248,63,72,53,10,19,0.84127,0.736111,0.785185,0.816466,1,2,-9,dense,present,midwest-flooding_00000248_pre_disaster.png,midwest-flooding_00000248_pre_disaster_target.png
midwest-flooding_00000254,0,3,0,0,3,0.0,0.0,0.0,,0,0,-3,sparse,present,midwest-flooding_00000254_pre_disaster.png,midwest-flooding_00000254_pre_disaster_target.png
midwest-flooding_00000256,140,138,112,28,26,0.8,0.811594,0.805755,0.762052,4,4,2,dense,present,midwest-flooding_00000256_pre_disaster.png,midwest-flooding_00000256_pre_disaster_target.png
